_id,VGNKennung,VAGKennung,Haltepunkt,GlobalID,Haltestellenname,latitude,longitude,Betriebszweig,Dataprovider
1581,1796,KOPER,KOPER:2,de:09564:1796:0:2,Koperstraße,"49,40254","11,06237",Bus,VAN
1582,1848,KATZWE,KATZWE:1,de:09564:1848:0:1,Katzwang Süd/Wende,"49,3456039","11,0604582",Bus,VAN
1583,1848,KATZWE,KATZWE:2,de:09564:1848:0:2,Katzwang Süd/Wende,"49,3464165","11,0619507",Bus,VAN
1584,1849,KORN-N,KORN-N:1,de:09564:1849:0:1,Kornburg Nord,"49,3609581","11,0974379",Bus,VAN
1585,1849,KORN-N,KORN-N:2,de:09564:1849:0:2,Kornburg Nord,"49,360939","11,0976696",Bus,VAN
1586,1850,VORJUR,VORJUR:1,de:09564:1850:0:1,Vorjurastraße,"49,3743706","11,0410528",Bus,VAN
1587,1850,VORJUR,VORJUR:2,de:09564:1850:0:2,Vorjurastraße,"49,3744049","11,0412693",Bus,VAN
1588,1851,KELLER,KELLER:1,de:09564:1851:0:1,Kellerstraße,"49,36825","11,046005",Bus,VAN
1589,1851,KELLER,KELLER:2,de:09564:1851:0:2,Kellerstraße,"49,368285","11,046084",Bus,VAN
1590,1852,APPELS,APPELS:1,de:09564:1852:0:1,Appelstraße,"49,3658752","11,0483341",Bus,VAN
1591,1852,APPELS,APPELS:2,de:09564:1852:0:2,Appelstraße,"49,3654556","11,0488415",Bus,VAN
1592,1853,LAUSIT,LAUSIT:1,de:09564:1853:0:1,Lausitzer Straße,"49,3606682","11,0507116",Bus,VAN
1593,1853,LAUSIT,LAUSIT:2,de:09564:1853:0:2,Lausitzer Straße,"49,3604736","11,051055",Bus,VAN
1594,1854,KATZ-H,KATZ-H:1,de:09564:1854:0:1,Katzwang Hallenbad,"49,3555794","11,0530434",Bus,VAN
1595,1854,KATZ-H,KATZ-H:2,de:09564:1854:0:2,Katzwang Hallenbad,"49,3566704","11,0527525",Bus,VAN
1596,1855,KATZ-M,KATZ-M:1,de:09564:1855:0:1,Katzwang Mitte,"49,351207","11,056548",Bus,VAN
1597,1855,KATZ-M,KATZ-M:2,de:09564:1855:0:2,Katzwang Mitte,"49,3514595","11,0565138",Bus,VAN
